uuid,uid,survey_id,survey_name,form_type,tr_code,type,period_days,period_start,period_end,qtext,suff_qtext,first_text,close_seg_text,all_seg_text,all_text,all_context,all_inclusions,all_exclusions,sci_download_date,sci_scrape_date,sci_file_name,sci_folder_name
002_0001_c_11,002_0001_c_11,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_11,matrix_dynamic_cols,364,01/01/2015,31/12/2015,"Code | Of your total in-house, non capital expenditure on R&D in question 6: how much related to basic research?","Code | Of your total in-house, non capital expenditure on R&D in question 6: how much related to basic research?","Code | Of your total in-house, non capital expenditure on R&D in question 6: how much related to basic research?",Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure,Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure,"Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure ||| Code ||| Of your total in-house, non capital expenditure on R&D in question 6: how much related to basic research?","The total cost of non capital expenditure carried out by your business in the UK, regardless of the source of funds or their treatment within your business' accounts. All expenditure should be reported as gross unless otherwise stated. ||| Dynamic - User can fill in one or many columns within the matrix ||| Work undertaken primarily to acquire new knowledge without a specific application in mind.",,,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_12,002_0001_c_12,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_12,matrix_dynamic_cols,364,01/01/2015,31/12/2015,"Code | Of your total in-house, non capital expenditure on R&D in question 6: how much related to applied research?","Code | Of your total in-house, non capital expenditure on R&D in question 6: how much related to applied research?","Code | Of your total in-house, non capital expenditure on R&D in question 6: how much related to applied research?",Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure,Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure,"Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure ||| Code ||| Of your total in-house, non capital expenditure on R&D in question 6: how much related to applied research?","The total cost of non capital expenditure carried out by your business in the UK, regardless of the source of funds or their treatment within your business' accounts. All expenditure should be reported as gross unless otherwise stated. ||| Dynamic - User can fill in one or many columns within the matrix ||| Work undertaken to acquire new knowledge with a specific application in mind.",,,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_13,002_0001_c_13,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_13,matrix_dynamic_cols,364,01/01/2015,31/12/2015,"Code | Of your total in-house, non capital expenditure on R&D in question 6: how much related to experimental development??","Code | Of your total in-house, non capital expenditure on R&D in question 6: how much related to experimental development??","Code | Of your total in-house, non capital expenditure on R&D in question 6: how much related to experimental development??",Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure,Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure,"Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure ||| Code ||| Of your total in-house, non capital expenditure on R&D in question 6: how much related to experimental development??","The total cost of non capital expenditure carried out by your business in the UK, regardless of the source of funds or their treatment within your business' accounts. All expenditure should be reported as gross unless otherwise stated. ||| Dynamic - User can fill in one or many columns within the matrix ||| Work using the results from basic and/or applied research for the purpose of creating new or improved products/processes",,,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_14,002_0001_c_14,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_14,matrix_dynamic_cols,364,01/01/2015,31/12/2015,"Code | During the 12 month reporting period, what was your gross capital expenditure on land acquired for R&D?","Code | During the 12 month reporting period, what was your gross capital expenditure on land acquired for R&D?","Code | During the 12 month reporting period, what was your gross capital expenditure on land acquired for R&D?",Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Capital Expenditure,Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Capital Expenditure,"Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Capital Expenditure ||| Code ||| During the 12 month reporting period, what was your gross capital expenditure on land acquired for R&D?","The total cost of capital expenditure on R&D carried out by your business in the UK, regardless of the source of funding. No deduction should be made for depreciation. Where expenditure has been incurred on capital assets for both R&D and non R&D purposes, please report an estimate of the amount relating to R&D. ||| Dynamic - User can fill in one or many columns within the matrix",,,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_15,002_0001_c_15,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_15,matrix_dynamic_cols,364,01/01/2015,31/12/2015,"Code | During the 12 month reporting period, what was your gross capital expenditure on buildings acquired/constructed for R&D?","Code | During the 12 month reporting period, what was your gross capital expenditure on buildings acquired/constructed for R&D?","Code | During the 12 month reporting period, what was your gross capital expenditure on buildings acquired/constructed for R&D?",Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Capital Expenditure,Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Capital Expenditure,"Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Capital Expenditure ||| Code ||| During the 12 month reporting period, what was your gross capital expenditure on buildings acquired/constructed for R&D?","The total cost of capital expenditure on R&D carried out by your business in the UK, regardless of the source of funding. No deduction should be made for depreciation. Where expenditure has been incurred on capital assets for both R&D and non R&D purposes, please report an estimate of the amount relating to R&D. ||| Dynamic - User can fill in one or many columns within the matrix",major improvements | modifications | new builds | repairs,,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_16,002_0001_c_16,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_16,matrix_dynamic_cols,364,01/01/2015,31/12/2015,"Code | During the 12 month reporting period, what was your gross capital expenditure on equipment and machinery for R&D?","Code | During the 12 month reporting period, what was your gross capital expenditure on equipment and machinery for R&D?","Code | During the 12 month reporting period, what was your gross capital expenditure on equipment and machinery for R&D?",Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Capital Expenditure,Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Capital Expenditure,"Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Capital Expenditure ||| Code ||| During the 12 month reporting period, what was your gross capital expenditure on equipment and machinery for R&D?","The total cost of capital expenditure on R&D carried out by your business in the UK, regardless of the source of funding. No deduction should be made for depreciation. Where expenditure has been incurred on capital assets for both R&D and non R&D purposes, please report an estimate of the amount relating to R&D. ||| Dynamic - User can fill in one or many columns within the matrix",computer software that has been developed in-house specifically for R&D.,routine computer software,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_17,002_0001_c_17,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_17,matrix_dynamic_cols,364,01/01/2015,31/12/2015,"Code | Of your figure reported in question 9(a), how much was spent on computer software for R&D?","Code | Of your figure reported in question 9(a), how much was spent on computer software for R&D?","Code | Of your figure reported in question 9(a), how much was spent on computer software for R&D?",Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Capital Expenditure,Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Capital Expenditure,"Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Capital Expenditure ||| Code ||| Of your figure reported in question 9(a), how much was spent on computer software for R&D?","The total cost of capital expenditure on R&D carried out by your business in the UK, regardless of the source of funding. No deduction should be made for depreciation. Where expenditure has been incurred on capital assets for both R&D and non R&D purposes, please report an estimate of the amount relating to R&D. ||| Dynamic - User can fill in one or many columns within the matrix",,,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_18,002_0001_c_18,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_18,matrix_dynamic_cols,364,01/01/2015,31/12/2015,"Code | During the 12 month reporting period, what was your total in-house capital expenditure for R&D?","Code | During the 12 month reporting period, what was your total in-house capital expenditure for R&D?","Code | During the 12 month reporting period, what was your total in-house capital expenditure for R&D?",Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Capital Expenditure,Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Capital Expenditure,"Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Capital Expenditure ||| Code ||| During the 12 month reporting period, what was your total in-house capital expenditure for R&D?","The total cost of capital expenditure on R&D carried out by your business in the UK, regardless of the source of funding. No deduction should be made for depreciation. Where expenditure has been incurred on capital assets for both R&D and non R&D purposes, please report an estimate of the amount relating to R&D. ||| Dynamic - User can fill in one or many columns within the matrix",,,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_19,002_0001_c_19,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_19,matrix_dynamic_cols,364,01/01/2015,31/12/2015,"Code | During the 12 month reporting period, what was your total in-house capital and non capital expenditure for R&D?","Code | During the 12 month reporting period, what was your total in-house capital and non capital expenditure for R&D?","Code | During the 12 month reporting period, what was your total in-house capital and non capital expenditure for R&D?",Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| Total In-house Expenditure,Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| Total In-house Expenditure,"Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| Total In-house Expenditure ||| Code ||| During the 12 month reporting period, what was your total in-house capital and non capital expenditure for R&D?",Dynamic - User can fill in one or many columns within the matrix,,,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_20,002_0001_c_20,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_20,matrix_dynamic_cols,364,01/01/2015,31/12/2015,Code | own funds from within the UK?,Code | own funds from within the UK?,Code | own funds from within the UK?,"Section B - In-house R&D ||| Funding for Expenditure on In-house R&D ||| Of your in-house expenditure for R&D, how much was originally funded by:","Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| Funding for Expenditure on In-house R&D ||| Of your in-house expenditure for R&D, how much was originally funded by:","Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| Funding for Expenditure on In-house R&D ||| Of your in-house expenditure for R&D, how much was originally funded by: ||| Code ||| own funds from within the UK?",Estimates are acceptable ||| Dynamic - User can fill in one or many columns within the matrix,"contracts, grants or donations in the form of money or other resources. Estimates are acceptable. ||| funding from your parent company | funding from other subsidiary companies operating within the UK",,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_21,002_0001_c_21,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_21,matrix_dynamic_cols,364,01/01/2015,31/12/2015,Code | the UK Government?,"Of your in-house expenditure for R&D, how much was originally funded by: ||| Code | the UK Government?",Code | the UK Government?,"Section B - In-house R&D ||| Funding for Expenditure on In-house R&D ||| Of your in-house expenditure for R&D, how much was originally funded by:","Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| Funding for Expenditure on In-house R&D ||| Of your in-house expenditure for R&D, how much was originally funded by:","Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| Funding for Expenditure on In-house R&D ||| Of your in-house expenditure for R&D, how much was originally funded by: ||| Code ||| the UK Government?",Estimates are acceptable ||| Dynamic - User can fill in one or many columns within the matrix,"contracts, grants or donations in the form of money or other resources. Estimates are acceptable. ||| funding from, or originating within, UK government departments, their agencies and non-departmental public bodies (for example, NHS,  Ministry of Defence, Department of Health, Department for Business, Energy and Industrial Strategy, the Scottish / Welsh Governments)",,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_22_(0),002_0001_c_22,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_22,matrix_dynamic_cols,364,01/01/2015,31/12/2015,Code | other UK business enterprises?,"Of your in-house expenditure for R&D, how much was originally funded by: ||| Code | other UK business enterprises?",Code | other UK business enterprises?,"Section B - In-house R&D ||| Funding for Expenditure on In-house R&D ||| Of your in-house expenditure for R&D, how much was originally funded by:","Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| Funding for Expenditure on In-house R&D ||| Of your in-house expenditure for R&D, how much was originally funded by:","Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| Funding for Expenditure on In-house R&D ||| Of your in-house expenditure for R&D, how much was originally funded by: ||| Code ||| other UK business enterprises?",Estimates are acceptable ||| Dynamic - User can fill in one or many columns within the matrix,"contracts, grants or donations in the form of money or other resources. Estimates are acceptable. ||| private non-profit organisations serving businesses",,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_23,002_0001_c_23,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_23,matrix_dynamic_cols,364,01/01/2015,31/12/2015,Code | non-profit UK organisations?,"Of your in-house expenditure for R&D, how much was originally funded by: ||| Code | non-profit UK organisations?",Code | non-profit UK organisations?,"Section B - In-house R&D ||| Funding for Expenditure on In-house R&D ||| Of your in-house expenditure for R&D, how much was originally funded by:","Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| Funding for Expenditure on In-house R&D ||| Of your in-house expenditure for R&D, how much was originally funded by:","Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| Funding for Expenditure on In-house R&D ||| Of your in-house expenditure for R&D, how much was originally funded by: ||| Code ||| non-profit UK organisations?",Estimates are acceptable ||| Dynamic - User can fill in one or many columns within the matrix,"contracts, grants or donations in the form of money or other resources. Estimates are acceptable. ||| private non-profit organisations serving households | education establishments | trade unions",,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_24,002_0001_c_24,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_24,matrix_dynamic_cols,364,01/01/2015,31/12/2015,Code | business enterprises within your group outside the UK?,Code | business enterprises within your group outside the UK?,Code | business enterprises within your group outside the UK?,"Section B - In-house R&D ||| Funding for Expenditure on In-house R&D ||| Of your in-house expenditure for R&D, how much was originally funded by:","Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| Funding for Expenditure on In-house R&D ||| Of your in-house expenditure for R&D, how much was originally funded by:","Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| Funding for Expenditure on In-house R&D ||| Of your in-house expenditure for R&D, how much was originally funded by: ||| Code ||| business enterprises within your group outside the UK?",Estimates are acceptable ||| Dynamic - User can fill in one or many columns within the matrix,"contracts, grants or donations in the form of money or other resources. Estimates are acceptable. ||| funding from your parent company or other subsidiary companies operating outside the UK",,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_25,002_0001_c_25,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_25,matrix_dynamic_cols,364,01/01/2015,31/12/2015,Code | other business enterprises outside the UK?,Code | other business enterprises outside the UK?,Code | other business enterprises outside the UK?,"Section B - In-house R&D ||| Funding for Expenditure on In-house R&D ||| Of your in-house expenditure for R&D, how much was originally funded by:","Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| Funding for Expenditure on In-house R&D ||| Of your in-house expenditure for R&D, how much was originally funded by:","Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| Funding for Expenditure on In-house R&D ||| Of your in-house expenditure for R&D, how much was originally funded by: ||| Code ||| other business enterprises outside the UK?",Estimates are acceptable ||| Dynamic - User can fill in one or many columns within the matrix,"contracts, grants or donations in the form of money or other resources. Estimates are acceptable.",,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
