,id,type,text,excl,incl,duration,survey,score
26,002_0001_c_e5,contact_6, Contact details Section E   Workplace Information Survey of Research and Development Carried Out in the United Kingdom ,,,30,002,1.0
1223,210_0001_C_88,open_text, Section E   Workplace Information    Comments and Contact Details Survey of Research and Development Carried Out in the United Kingdom 2015 , Channel Islands     Isle of Man , England     Scotland     Wales     Northern Ireland ,30,210,0.9370214995929882
1224,210_0001_C_89,contact_6, Contact Details Section E   Workplace Information    Comments and Contact Details Survey of Research and Development Carried Out in the United Kingdom 2015 , Channel Islands     Isle of Man , England     Scotland     Wales     Northern Ireland ,30,210,0.9157636846569411
28,007_0003_11,dmy_date, From What are the dates of the 12 month period that you will be reporting for Section A   Reporting period Low Carbon and Renewable Energy Economy Survey ,,,30,007,0.9999999999999997
1105,202_1505_11,dmy_date, From What are the dates of the 12 month period that you will be reporting for Section A   Reporting Period Annual Business Survey , Northern Ireland    the Channel Islands and Isle of Man     Any activity outside the UK lasting for more than one year     any overseas activity which is deemed to be capital expenditure in that country , England    Scotland and Wales     all installation activities outside the UK    which should be included regardless of the length of period of the work carried out     Any work done in connection with overseas contracts where employees travel abroad regularly for short periods should ,30,202,0.8329260452833156
1106,202_1505_12,dmy_date, To What are the dates of the 12 month period that you will be reporting for Section A   Reporting Period Annual Business Survey , Northern Ireland    the Channel Islands and Isle of Man     Any activity outside the UK lasting for more than one year     any overseas activity which is deemed to be capital expenditure in that country , England    Scotland and Wales     all installation activities outside the UK    which should be included regardless of the length of period of the work carried out     Any work done in connection with overseas contracts where employees travel abroad regularly for short periods should ,30,202,0.8101795453539375
492,107_0003_c_1,dmy_date, From What are the dates of the 12 month period that you will be reporting for Section A   Reporting Period and Coverage Annual Survey of Insurance Companies  Long Term Business Income and Expenditure , Exclude overseas branches    subsidiaries and agencies , Include in this questionnaire all long term insurance and investment contract business within your United Kingdom company or group of companies ,30,107,0.7541497900362609
29,007_0003_12,dmy_date, To What are the dates of the 12 month period that you will be reporting for Section A   Reporting period Low Carbon and Renewable Energy Economy Survey ,,,30,007,1.0000000000000002
1106,202_1505_12,dmy_date, To What are the dates of the 12 month period that you will be reporting for Section A   Reporting Period Annual Business Survey , Northern Ireland    the Channel Islands and Isle of Man     Any activity outside the UK lasting for more than one year     any overseas activity which is deemed to be capital expenditure in that country , England    Scotland and Wales     all installation activities outside the UK    which should be included regardless of the length of period of the work carried out     Any work done in connection with overseas contracts where employees travel abroad regularly for short periods should ,30,202,0.831769983926001
1105,202_1505_11,dmy_date, From What are the dates of the 12 month period that you will be reporting for Section A   Reporting Period Annual Business Survey , Northern Ireland    the Channel Islands and Isle of Man     Any activity outside the UK lasting for more than one year     any overseas activity which is deemed to be capital expenditure in that country , England    Scotland and Wales     all installation activities outside the UK    which should be included regardless of the length of period of the work carried out     Any work done in connection with overseas contracts where employees travel abroad regularly for short periods should ,30,202,0.8091919302786932
753,107_0003_c_2,dmy_date, To What are the dates of the 12 month period that you will be reporting for Section A   Reporting Period and Coverage Annual Survey of Insurance Companies  Long Term Business Income and Expenditure , Exclude overseas branches    subsidiaries and agencies , Include in this questionnaire all long term insurance and investment contract business within your United Kingdom company or group of companies ,30,107,0.7525389312834077
135,009_0202_146,open_text, In the box below    please write any additional comments that you would like to make Monthly Business Survey ,,,29,009,1.0000000000000002
1439,218_0001_C_378,open_text, In the box below please write any additional comments you would like to make Comments Occupational Pension Schemes Survey ,,,30,218,0.9061075663320859
140,009_0204_146,open_text, In the box below    please write any additional comments that you would like to make Monthly Business Survey ,,,30,009,1.0000000000000002
1439,218_0001_C_378,open_text, In the box below please write any additional comments you would like to make Comments Occupational Pension Schemes Survey ,,,30,218,0.9061075663320859
155,009_0216_146,open_text, In the box below    please write any additional comments that you would like to make Monthly Business Survey ,,,30,009,1.0000000000000002
1439,218_0001_C_378,open_text, In the box below please write any additional comments you would like to make Comments Occupational Pension Schemes Survey ,,,30,218,0.9061075663320859
203,057_0005_0101,boolean, During the reporting period did your business conduct any international trade in services Section A   International Trade in Services Quarterly Survey of International Trade in Services , Value Added Tax  VAT     transactions with branches or subsidiaries of foreign businesses that are located within the UK     interest    dividends    airfares    business travel and subsistence and transportation services Channel Islands     Isle of Man , transactions with branches or subsidiaries of UK businesses that are located outside the UK     commission  a cut of a fee paid for a service provided     for construction services    include international trade in both goods and services the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,057,1.0000000000000002
211,058_0001_C_1,boolean, During the reporting period did your business conduct any international trade in services Section A   International Trade in Services Annual Survey of International Trade in Services , Value Added Tax  VAT     transactions with branches or subsidiaries of foreign businesses that are located within the UK     interest    dividends    airfares    business travel and subsistence and transportation services Channel Islands     Isle of Man , transactions with branches or subsidiaries of UK businesses that are located outside the UK     commission  a cut of a fee paid for a service provided     for construction services    include international trade in both goods and services the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,058,0.9922177407335337
212,058_0001_C_2,boolean, During the reporting period was the total value of international trade in services conducted by your business less than  1   000 Section A   International Trade in Services Annual Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,058,0.857612445565965
204,057_0005_0102,boolean, During the reporting period was the total value of international trade in services conducted by your business less than  1   000 Section A   International Trade in Services Quarterly Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,057,1.0000000000000002
212,058_0001_C_2,boolean, During the reporting period was the total value of international trade in services conducted by your business less than  1   000 Section A   International Trade in Services Annual Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,058,0.9927936142690483
211,058_0001_C_1,boolean, During the reporting period did your business conduct any international trade in services Section A   International Trade in Services Annual Survey of International Trade in Services , Value Added Tax  VAT     transactions with branches or subsidiaries of foreign businesses that are located within the UK     interest    dividends    airfares    business travel and subsistence and transportation services Channel Islands     Isle of Man , transactions with branches or subsidiaries of UK businesses that are located outside the UK     commission  a cut of a fee paid for a service provided     for construction services    include international trade in both goods and services the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,058,0.8579090989477205
205,057_0005_3021,open_text, Detailed description Business and Professional Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Quarterly Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,057,0.9999999999999997
213,058_0001_3013,open_text, Detailed description Business and Professional Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Annual Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,058,0.9935313108873427
216,058_0001_9009,open_text, Detailed description Other Trade in Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Annual Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,058,0.950002813346172
206,057_0005_1211,open_text, Detailed description Personal    Cultural and Recreational Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Quarterly Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,057,1.0000000000000002
214,058_0001_8005,open_text, Detailed description Personal    Cultural and Recreational Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Annual Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,058,0.9939222273548315
216,058_0001_9009,open_text, Detailed description Other Trade in Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Annual Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,058,0.918838615527477
207,057_0005_1403,open_text, Detailed description Other Trade in Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Quarterly Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,057,1.0
215,058_0001_9010,open_text, Detailed description Other Trade in Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Annual Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,058,0.994198338928076
216,058_0001_9009,open_text, Detailed description Other Trade in Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Annual Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,058,0.994198338928076
208,057_0005_1407,open_text, Detailed description Other Trade in Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Quarterly Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,057,1.0
215,058_0001_9010,open_text, Detailed description Other Trade in Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Annual Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,058,0.994198338928076
216,058_0001_9009,open_text, Detailed description Other Trade in Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Annual Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,058,0.994198338928076
210,057_0005_0003,open_text, Please use the box below to Section B   Comments and Contact Details Quarterly Survey of International Trade in Services , Channel Islands     Isle of Man , Please include details of any significant impacts upon your data resulting from changes in the accounting approaches you have taken England     Scotland     Wales     Northern Ireland ,30,057,1.0000000000000002
217,058_0001_C_9,open_text, Please use the box below to Section B   Comments and Contact Details Annual Survey of International Trade in Services , Channel Islands     Isle of Man , Please include details of any significant impacts upon your data resulting from changes in the accounting approaches you have taken England     Scotland     Wales     Northern Ireland ,30,058,0.9717208570707074
211,058_0001_C_1,boolean, During the reporting period did your business conduct any international trade in services Section A   International Trade in Services Annual Survey of International Trade in Services , Value Added Tax  VAT     transactions with branches or subsidiaries of foreign businesses that are located within the UK     interest    dividends    airfares    business travel and subsistence and transportation services Channel Islands     Isle of Man , transactions with branches or subsidiaries of UK businesses that are located outside the UK     commission  a cut of a fee paid for a service provided     for construction services    include international trade in both goods and services the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,058,0.9999999999999998
203,057_0005_0101,boolean, During the reporting period did your business conduct any international trade in services Section A   International Trade in Services Quarterly Survey of International Trade in Services , Value Added Tax  VAT     transactions with branches or subsidiaries of foreign businesses that are located within the UK     interest    dividends    airfares    business travel and subsistence and transportation services Channel Islands     Isle of Man , transactions with branches or subsidiaries of UK businesses that are located outside the UK     commission  a cut of a fee paid for a service provided     for construction services    include international trade in both goods and services the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,057,0.9922177407335337
204,057_0005_0102,boolean, During the reporting period was the total value of international trade in services conducted by your business less than  1   000 Section A   International Trade in Services Quarterly Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,057,0.8579090989477205
212,058_0001_C_2,boolean, During the reporting period was the total value of international trade in services conducted by your business less than  1   000 Section A   International Trade in Services Annual Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,058,1.0000000000000002
204,057_0005_0102,boolean, During the reporting period was the total value of international trade in services conducted by your business less than  1   000 Section A   International Trade in Services Quarterly Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,057,0.9927936142690483
203,057_0005_0101,boolean, During the reporting period did your business conduct any international trade in services Section A   International Trade in Services Quarterly Survey of International Trade in Services , Value Added Tax  VAT     transactions with branches or subsidiaries of foreign businesses that are located within the UK     interest    dividends    airfares    business travel and subsistence and transportation services Channel Islands     Isle of Man , transactions with branches or subsidiaries of UK businesses that are located outside the UK     commission  a cut of a fee paid for a service provided     for construction services    include international trade in both goods and services the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,057,0.857612445565965
213,058_0001_3013,open_text, Detailed description Business and Professional Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Annual Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,058,1.0
205,057_0005_3021,open_text, Detailed description Business and Professional Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Quarterly Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,057,0.9935313108873427
207,057_0005_1403,open_text, Detailed description Other Trade in Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Quarterly Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,057,0.9503832659812765
214,058_0001_8005,open_text, Detailed description Personal    Cultural and Recreational Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Annual Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,058,1.0
206,057_0005_1211,open_text, Detailed description Personal    Cultural and Recreational Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Quarterly Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,057,0.9939222273548315
208,057_0005_1407,open_text, Detailed description Other Trade in Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Quarterly Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,057,0.9189909064802838
215,058_0001_9010,open_text, Detailed description Other Trade in Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Annual Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,058,1.0000000000000002
207,057_0005_1403,open_text, Detailed description Other Trade in Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Quarterly Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,057,0.994198338928076
208,057_0005_1407,open_text, Detailed description Other Trade in Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Quarterly Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,057,0.994198338928076
216,058_0001_9009,open_text, Detailed description Other Trade in Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Annual Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,058,1.0000000000000002
207,057_0005_1403,open_text, Detailed description Other Trade in Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Quarterly Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,057,0.994198338928076
208,057_0005_1407,open_text, Detailed description Other Trade in Services During the reporting period    for each international service that your business conducted    write  i  the total export value    ii  the total import value Section A   International Trade in Services Quarterly Survey of International Trade in Services , Channel Islands     Isle of Man , the value of exports and imports for each service     a breakdown by country of these services England     Scotland     Wales     Northern Ireland ,30,057,0.994198338928076
217,058_0001_C_9,open_text, Please use the box below to Section B   Comments and Contact Details Annual Survey of International Trade in Services , Channel Islands     Isle of Man , Please include details of any significant impacts upon your data resulting from changes in the accounting approaches you have taken England     Scotland     Wales     Northern Ireland ,30,058,1.0
210,057_0005_0003,open_text, Please use the box below to Section B   Comments and Contact Details Quarterly Survey of International Trade in Services , Channel Islands     Isle of Man , Please include details of any significant impacts upon your data resulting from changes in the accounting approaches you have taken England     Scotland     Wales     Northern Ireland ,30,057,0.9717208570707074
218,058_0001_C_10,contact_6, Who should we call if we have any questions Section B   Comments and Contact Details Annual Survey of International Trade in Services , Channel Islands     Isle of Man , England     Scotland     Wales     Northern Ireland ,30,058,1.0000000000000004
1086,165_0002_c_1,contact_7, Who should we call if we have any questions Section D   Comments and Contact Details Quarterly Public Sector Employment Survey , agency workers paid directly from the agency payroll     the self employed     voluntary workers     former employees only receiving a pension     directors who do not receive a salary , agency workers paid directly from the organisation s payroll s     hose temporarily absent but still on the payroll s    for example on maternity leave ,0,165,0.787411781412099
1087,165_0002_c_2,signature_date, Who should we call if we have any questions Section D   Comments and Contact Details Quarterly Public Sector Employment Survey , agency workers paid directly from the agency payroll     the self employed     voluntary workers     former employees only receiving a pension     directors who do not receive a salary , agency workers paid directly from the organisation s payroll s     hose temporarily absent but still on the payroll s    for example on maternity leave ,0,165,0.787411781412099
220,062_0002_0421,period, What is the year s  of your annual accounting period for your published statutory accounts eg  2012 or 2012 13 Section A   Reporting Period and Company Share Status Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,1.0
285,064_0002_0421,period, What is the year s  of your annual accounting period for your published statutory accounts eg  2012 or 2012 13 Section A   Reporting Period and Company Share Status Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9902185615601923
254,063_0002_0421,period, What is the year s  of your annual accounting period for your published statutory accounts eg  2012 or 2012 13 Section A   Reporting Period Annual Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,063,0.9086753087181003
319,065_0002_0421,period, What is the year s  of your annual accounting period for your published statutory accounts eg  2012 or 2012 13 Section A   Reporting Period Quarterly Outward Foreign Direct Investment Survey , Data relating only to UK affiliates and branches of the UK parent company , Data on any foreign affiliate or branch that the UK group has a direct or indirect holding of 10  or more of the issued voting power ,30,065,0.8982957969241121
221,062_0002_0312,boolean, Are the shares of the UK company quoted on the London Stock Exchange  LSE Section A   Reporting Period and Company Share Status Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,1.0000000000000002
286,064_0002_0312,boolean, Are the shares of the UK company quoted on the London Stock Exchange  LSE Section A   Reporting Period and Company Share Status Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9870883904168719
222,062_0002_0221,open_text_2, What is the legal name of your ultimate parent company Section B   Business Structure Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,1.0000000000000002
287,064_0002_0221,open_text_2, What is the legal name of your ultimate parent company Section B   Business Structure Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9747375493497953
223,062_0002_0222,single_select, What is the country of residence code of your ultimate parent company Section B   Business Structure Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,1.0
288,064_0002_0222,single_select, What is the country of residence code of your ultimate parent company Section B   Business Structure Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9780738506643067
224,062_0002_0223,single_select, What is the primary industry sector code of your ultimate parent company Section B   Business Structure Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,0.9999999999999997
289,064_0002_0223,single_select, What is the primary industry sector code of your ultimate parent company Section B   Business Structure Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9796885819625017
225,062_0002_0211,open_text_2, What is the legal name of this immediate foreign parent company or head office Section C    Immediate Foreign Parent Company or Head Office Details Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,0.9999999999999998
290,064_0002_0211,open_text_2, What is the legal name of this immediate foreign parent company or head office Section C    Immediate Foreign Parent Company or Head Office Details Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9899015661254864
291,064_0002_0212,single_select, What is the country of residence code of this immediate foreign parent company or head office Section C    Immediate Foreign Parent Company or Head Office Details Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.8643556651038014
226,062_0002_0212,single_select, What is the country of residence code of this immediate foreign parent company or head office Section C    Immediate Foreign Parent Company or Head Office Details Annual Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,062,1.0
291,064_0002_0212,single_select, What is the country of residence code of this immediate foreign parent company or head office Section C    Immediate Foreign Parent Company or Head Office Details Quarterly Inward Foreign Direct Investment Survey , Data relating only to UK parents of the UK affiliate company , Data on any immediate foreign parent company that has a direct or indirect holding of 10  or more of the issued voting power  see page 4 for definition  of the UK company or group of companies ,30,064,0.9904805464595335
